,Graphlet ID0,,,,Graphlet ID1,,,,Graphlet ID2,,,,Graphlet ID3,,,,Graphlet ID4,,,,Graphlet ID5,,
,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW
ia-email-univ,1133,5451,10**6,,,,,,,,,,,,,,,,,,,,
mixing- 11 step,0.00210558369269,0.000763377111424,0.0130856587872,,0.00385882145485,0.00122410654818,0.00967631568765,,0.000608807736139,0.000584136377214,0.0433855853227,,0.0320078666292,0.0190374656293,0.04161874155,,0.0284849515642,0.0112413941218,0.125252861999,,0.150838080582,0.0363317250046,1.06442978744
mixing- 12 step,0.00390360954632,0.00316333319587,0.0111253395027,,0.00396229496303,0.00114773196081,0.0112505601337,,0.00274702983965,0.00406299025134,0.0354846820843,,0.0971862136391,0.0183375099257,0.071520600397,,0.0189853542566,0.00413939607077,0.146394253709,,0.0422033552446,0.102878808457,0.946460424529
mixing- 13 step,0.00123103672712,0.000855412254673,0.00865740778697,,0.00107510633527,0.00111085403033,0.0122406018053,,0.00241366731722,0.0020179080008,0.0299658110712,,0.101973898095,0.000898804037698,0.0316490347674,,0.0229420683074,0.02645155192,0.104108115639,,0.110098229188,0.0100751478498,0.710524117072
mixing- 14 step,0.00182346878101,0.00244209352505,0.00805390180924,,0.00105461705148,0.00183996845944,0.010831252582,,5.29129243079E-05,0.00511264180978,0.0279144398912,,0.0356258399451,0.0382735902324,0.121356525115,,0.00183315687529,0.0274637771286,0.107630757299,,0.0693596101196,0.0285917344504,0.798997703417
mixing- 15 step,0.0029370638231,0.00078237588487,0.00766388012123,,0.000361354165247,0.000821126294893,0.00910894271712,,0.000712513070775,0.00229940503386,0.0242047102629,,0.0440386421792,0.0339783984453,0.00323964111639,,0.00895606026635,0.00499511408999,0.140517910726,,0.0371080450728,0.0719491634165,0.828487640533
mixing- 16 step,0.00398087968573,0.00182373918545,0.00869233428887,,0.000690945611285,0.0014241842719,0.012508799773,,0.00131387610813,0.00483212790597,0.0283948162947,,0.062144908795,0.0190272750509,0.146273266426,,0.0242582398357,0.0137669667651,0.145215088503,,0.0761470426194,0.0169870077211,0.563060452211
mixing- 17 step,0.000456468189909,0.000688253791996,0.00625287922426,,0.000189578525731,0.000312907510667,0.00535137048302,,0.00458648744045,0.0045536253857,0.0298109312283,,0.0718333180981,0.0339742624159,0.0416124917751,,0.0105371292125,0.0365860608625,0.135817316044,,0.00193402480088,0.040186151793,0.533567211974
mixing- 18 step,0.00167672660305,0.00301131157794,0.00535050263515,,0.000882308369049,0.00194125073943,0.00499567426028,,0.00189538223925,0.00698474795001,0.023327230885,,0.0320006425019,0.0140402002923,0.0665303843599,,0.00186471621732,0.00311307608632,0.0594686603396,,0.0557762172906,0.0642210213097,0.710515564349
mixing- 19 step,0.000649435372169,0.000867402277486,0.00667308709824,,0.000324703712032,0.000838330170228,0.00551627292485,,0.00305963255648,0.00136731511711,0.0217884593278,,0.0476635173431,0.009055183582,0.0764968815293,,0.0163397484135,0.0208607601068,0.0618167529613,,0.025699449037,0.0324482958155,0.474580908452
mixing- 20 step,0.000260335111492,0.00206890316257,0.00516347415166,,0.00174066645946,0.000911607767582,0.00710094098384,,0.00386902306376,0.00507429368621,0.0289334367742,,0.0223171361905,0.0414425262636,0.157741708115,,0.00525715709538,0.00956926136968,0.0888309133554,,0.0812348960327,0.0285793910286,0.71051214326
,,,,,,,,,,,,,,,,,,,,,,,
bio-celegansneural,297,2148,10**6,,,,,,,,,,,,,,,,,,,,
expectation est.,648458.687603,662889.96968,,,516592.49938,513830.64096,,,186209.830321,188479.22424,,,16688.5490928,15845.08716,,,22683.7680353,23529.4784,,,2033.85545618,1967.98686,
